id;first_name;last_name;email;phone_number;hire_date;salary;commission_pct
1;Elton;Haag;Felicita.Runolfsdottir84@gmail.com;alongside;2023-12-12T08:26:59;2863;30103
2;Annalise;Ledner;Kole.Flatley@hotmail.com;underneath brr hate;2023-12-13T01:02:03;6649;26578
3;Velva;Shields;Lizzie_Douglas95@yahoo.com;once;2023-12-12T23:55:16;15828;25352
4;Brooke;Mitchell;Devan.Wolff@yahoo.com;psst gnash warped;2023-12-12T14:53:44;6588;21721
5;Wiley;White;Constantin66@yahoo.com;remonstrate repeatedly first;2023-12-12T12:06:10;18707;23523
6;Alvina;Orn-Konopelski;Norbert_Rosenbaum@yahoo.com;thunderbolt;2023-12-12T19:51:37;28383;15316
7;Haskell;Morar;Cierra.Auer30@hotmail.com;misreport fess;2023-12-12T15:41:03;19229;18361
8;Annabel;Morissette-Kautzer;Lizeth.Green5@gmail.com;shame;2023-12-13T03:24:42;5838;26106
9;Etha;Marvin;Wilfred_Monahan@hotmail.com;shameless pressure;2023-12-12T11:45:03;6286;20436
10;Rosendo;O'Connell;Margaret_Corkery63@hotmail.com;including although;2023-12-12T10:05:18;8077;5944
